,All,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
0,1.10148,0.0498535,0.037496299999999996,0.135428,0.0400338,0.12292600000000001,0.101898,0.0871791,0.05160169999999999,0.180761,0.474352
1,1.20007,0.0642669,0.0315666,0.147978,0.14238900000000002,0.11359999999999999,0.144932,0.0449154,0.050308,0.139478,0.398637
2,1.37876,0.289908,0.0310564,0.263598,0.09667210000000001,0.10235799999999999,0.14623,0.0346781,0.017608099999999998,0.207269,0.22408199999999998
3,1.1992,0.48125,0.0325144,0.198399,0.0574446,0.0806177,0.164702,0.0647388,0.0796463,0.131691,0.0609287
4,1.65618,0.13713599999999998,0.375806,0.0750464,0.12245500000000001,0.109617,0.24607199999999999,0.0492672,0.0186496,0.224784,0.12145399999999999
5,1.41326,0.0928766,0.445375,0.0122297,0.105409,0.114296,0.268891,0.0616256,0.011135200000000001,0.0224589,0.41422400000000004
6,1.9868,0.06333910000000001,0.362935,0.197044,0.11385,0.14538500000000001,0.2956,0.0720112,0.15670900000000001,0.26027300000000003,0.30497399999999997
7,2.44749,0.08126710000000001,0.756716,0.197065,0.125262,0.143349,0.34182199999999996,0.0766084,0.3216,0.23145600000000002,0.135945
8,1.73901,0.122797,0.040265,0.198579,0.105024,0.20341499999999998,0.385026,0.06677469999999999,0.07734579999999999,0.236077,0.11721299999999998
9,1.93919,0.17158800000000002,0.17191099999999998,0.177506,0.12219500000000001,0.134182,0.336631,0.069962,0.74479,0.22860399999999997,0.10308600000000001
10,2.28166,0.123053,0.181569,0.21202100000000002,0.251906,0.176054,0.31931600000000004,0.160936,0.140537,0.347037,0.117532
11,2.50761,0.12215400000000001,0.360656,0.21288999999999997,0.303245,0.1669,0.3861,0.166342,0.132044,0.29529700000000003,0.254745
12,4.11352,0.107721,0.351987,0.34061400000000003,0.480589,0.253506,0.527238,0.0953705,0.328615,0.790666,0.25474600000000003
13,5.62372,0.32472599999999996,0.141355,0.419421,0.39262,0.381833,0.659701,0.230995,0.162761,1.59426,0.269546
14,4.37398,0.326437,0.20369299999999999,0.505135,0.331603,0.276375,0.727426,0.156189,0.16744,0.8992979999999999,0.334526
15,4.19434,0.215486,0.19230799999999998,0.604283,0.388534,0.341414,0.648192,0.292685,0.48352700000000004,0.563842,0.386847
16,5.42123,0.419507,0.7361500000000001,0.542543,0.294869,0.449932,0.562791,0.696129,0.937904,0.667666,0.790212
17,5.66137,0.428226,0.705708,0.519632,0.438035,0.615695,0.606346,0.8218799999999999,0.829849,0.479764,0.52888
18,5.97802,0.503228,0.8106629999999999,0.47538099999999994,0.373236,0.654296,1.03737,0.812636,0.578398,0.433191,0.505283
19,4.7358,0.360087,0.365924,0.613278,0.285373,0.536765,0.9658960000000001,0.446488,0.40861400000000003,0.368601,0.48905200000000004
20,3.44581,0.325056,0.0353382,0.34307,0.23691800000000002,0.388996,0.632876,0.260365,0.219656,0.477553,0.417196
